Issue,Where it appears,Recommended action
Hybrid MSE columns disagree between documents,"Main manuscript Table 4 gives CV MSE 0.6571, test 0.4602, unseen 0.9752; Hybrid model.docx Table 1 gives CV 0.4602, test 0.9752, unseen 0.1921",The columns are shifted by one between the two documents. Re-derive from the recomputed values in Table 2 and use a single set throughout.
"Nu-SVR ""Mean CV MSE"" is actually the test MSE","Table 4 reports 0.8591 under ""Mean CV MSE""","In the source script 0.8591 is mean_squared_error on the 20% test set. Relabel, or replace with the recomputed CV MSE."
DNN narrative does not match its own table,Hybrid model.docx quotes DNN-1 R2 train 0.8044 / CV 0.7373 and DNN-2 0.9532 / 0.9323; Table 1 of the same document lists neither,"Reconcile the text to the table, or supply the runs those numbers came from."
Duplicated rows in the DNN table,DNN-1 and DNN-3 are identical; DNN-2 and DNN-4 are identical,Two distinct architectures cannot give bit-identical metrics across seven columns. Re-run or merge the rows.
Base learners were fitted on different splits,"Nu-SVR used random_state=1, all four DNNs used random_state=42, and the two were then stacked",The ensemble members saw different training sets. All results here use one split per run.
Hyperparameters were selected on the test set,"W_new includes R2 test and the test MSE/RMSE/MAE, and the reported model is the W_new maximum over the n_components sweep","This makes the reported test R2 an optimistic estimate. Select on cross-validated R2 and quote the test set once, at the end."
Meta-learner trained on in-sample base predictions,No out-of-fold scheme is described for the Ridge stack,Stacking on in-sample predictions inflates the meta-learner. With out-of-fold stacking the hybrid no longer consistently beats Nu-SVR (Table 2).
Random splits leak duplicate structures,10 of 25 test rows and 4 of 13 holdout rows share a canonical SMILES with the training set at random_state=1,Report the structure-disjoint split alongside the random one (Table 2).
Model comparisons are not statistically resolvable,"Hybrid test R2 0.6560 vs Nu-SVR 0.6532, a difference of 0.0028, on 23-25 test molecules",The bootstrap 95% CI on test R2 spans roughly +/-0.5. State that the models are statistically indistinguishable rather than ranking them.
SHAP interpretation attributes importance to protein confidence,PC1 (mean |SHAP| 0.807) loads on pLDDT quantiles,"The AlphaFold block is constant within a protein, so PC1 largely encodes target identity. Target dummies alone give CV R2 0.34. Reword the interpretation."
Feature count stated inconsistently,"Table 3 total reads ""~270-280 272""",The matrix has exactly 272 feature columns. Fix the cell.
Number of AlphaFold feature vectors,Methods describe four proteins; the data contain eight distinct pLDDT/PAE signatures,Groups 5-7 differ only in the third decimal and two are singletons. Verify which AlphaFold run each ligand was assigned.
"Ligand-PCA columns are array dimensions, not deformations","Section 2.3 describes ""PCA components shape"" as structural deformations and ""Average Structure Shape"" as the mean conformation","The extraction script recorded pca.components_.shape and average_structure.shape. PCA-components-shape1 is the constant 3, Average-structure-shape is the ligand atom count (24 to 72) and PCA-components-shape2 is three times it. They correlate with pIC50 at r = 0.581. Describe them as ligand-size descriptors; replacement text in docs/METHODS_CORRECTION_LIGAND_PCA.md."
Impossible PAE mean for one protein,"AlphaFold block, TDP1 (6N0D) signature: PAE Mean 30.07 with Q25 1.4, Q50 1.9, Q75 2.70 and Max 30.5","A mean cannot sit at the maximum when three quarters of the distribution is below 2.70. The source JSON gives 3.07, so a zero was inserted. The affected row carries the 17 most potent compounds. Correct to 3.07 in any revised matrix."
Hydrogen bonds and water bridges were never counted,"ligand_protein_interaction_forces.py passed the same atom twice to the angle function, so both angles evaluated to NaN and every cutoff comparison failed","The 20 residue descriptors contain only hydrophobic and ionic contributions; cation-pi had a cutoff but no detection code. Methods should state which interaction types actually entered the features, or the descriptors should be regenerated with the corrected script."
AlphaFold pLDDT averaged over the wrong atoms,"alphafold_feature_extraction.py zipped per-atom pLDDT against per-token residue ids, using only the first 248 of 1978 atom scores for 1SJ0","Roughly 87 per cent of each structure was discarded. Corrected values differ materially, for example 8AOJ rises from 69.30 to 87.29."
Repository does not contain the pipeline,"The README advertises scripts/classical_ml_pipeline.py, hybrid_model_training.py, data/, models/ and outputs/; none exist in the repository","Publish the actual training code, or point the manuscript at this benchmark repository."
